ISO,COUNTRY,2019INDEP,2020INDEP,2019ELECT,2020ELECT,2019AUSCORR,2020AUSCORR,2019PAR,2020PAR,2019IDH,2020IDH,PERCOR_2020.y.x,PERCOR_2019.y.x,2019LEG,2020LEG,DES2019,DES2020,COUNTRY.x.y,PERCOR_2020.y.y,PERCOR_2019.y.y,INFLACION_2019,INFLACION_2020
KAZ,Kazakhstan,0.231812011483494,0.250080960659913,0.507906352415893,0.507906352415893,0.32388073180057,0.32388073180057,0.078,0.081,0.818,0.813,38,34,8.5,8.4,4.80000019073486,4.8899998664856,Kazakhstan,38,34,5.24547679608388,6.74900183815967
KEN,Kenya,0.547453190287877,0.547453190287877,0.749856402566357,0.749856402566357,0.411698362988437,0.406078825412835,0.3,0.311,0.58,0.577,31,28,8.2,7.9,5.01000022888184,5.72900009155273,Kenya,31,28,5.23585999425422,5.40481467184518
KHM,Cambodia,0.239123776262547,0.221919869651845,0.487284053259537,0.487284053259537,0.140080553489076,0.140080553489076,0.138,0.137,0.597,0.595,21,20,8.7,8.4,0.146999999880791,0.331000000238419,Cambodia,21,20,1.94257500833109,2.94029514263973
KWT,Kuwait,0.561917041623354,0.561917041623354,0.403613814208192,0.403613814208192,0.464543191905661,0.464543191905661,0.092,0.1,0.838,0.821,42,40,7.3,7.2,2.16700005531311,3.53900003433228,Kuwait,42,40,1.09184802655847,2.1017295482741
LBN,Lebanon,0.438920441034836,0.431262753617073,0.596809139715221,0.596809139715221,0.344523686645691,0.337555606264788,0.261,0.263,0.745,0.725,25,28,7.1,7.4,11.3500003814697,13.2969999313354,Lebanon,25,28,3.0053894939038,84.8643330472041
LKA,Sri Lanka,0.694144562905939,0.507398084173628,1,1,0.469999657973695,0.425883783949332,0.347,0.344,0.778,0.78,38,38,6.9,6.6,4.34999990463257,5.87799978256226,Sri Lanka,38,38,3.52839358231809,6.15394508391743
LSO,Lesotho,0.55011665391392,0.564532124224612,0.888593521750256,0.888593521750256,0.449440225545105,0.427290107381328,0.39,0.392,0.524,0.521,41,40,5.3,5,22.4400005340576,24.5629997253418,Lesotho,41,40,5.18708359197993,4.97809676252292
LTU,Lithuania,0.823062777140929,0.823062777140929,1,1,0.704647885556847,0.693550998492252,0.625,0.622,0.884,0.879,60,60,2.1,1.8,6.26000022888184,8.48999977111816,Lithuania,60,60,2.33450937988024,1.19989444983569
LUX,Luxembourg,0.566205974300409,0.654590935796506,1,1,0.8733125866362,0.8733125866362,0.637,0.627,0.927,0.924,80,80,0.7,0.5,5.59000015258789,6.76999998092651,Luxembourg,80,80,1.74332075653843,0.819957302126994
LVA,Latvia,0.820808764822975,0.820808764822975,0.757503043355803,0.757503043355803,0.701909631040942,0.689110731809525,0.58,0.589,0.871,0.871,57,56,2.8,2.5,6.30999994277954,8.10000038146973,Latvia,57,56,2.81140920075622,0.219064904842049
MAR,Morocco,0.512427550789282,0.518594702854377,0.403613814208192,0.403613814208192,0.416743253785224,0.416743253785224,0.165,0.162,0.682,0.679,40,41,6.8,6.8,9.27999973297119,11.4540004730225,Morocco,40,41,0.303386036590361,0.705968661338317
MDG,Madagascar,0.265780488110691,0.282779035517988,0.596809139715221,0.596809139715221,0.310206257118743,0.310206257118743,0.288,0.287,0.51,0.501,25,24,6.5,6.2,1.85699999332428,2.47399997711182,Madagascar,25,24,5.61051441492366,4.20179312190553
MDV,Maldives,0.447053711600295,0.508181857503069,0.932146459280028,0.932146459280028,0.526955560539771,0.540778494352717,0.295,0.339,0.755,0.733,43,29,8.3,7.8,5.34000015258789,6.32800006866455,Maldives,43,29,0.220029731065343,-1.3697742556981
MEX,Mexico,0.508515974232647,0.477814855134674,1,1,0.447932401648601,0.453590582960837,0.402,0.389,0.779,0.756,31,29,5.9,5.6,3.48000001907349,4.44999980926514,Mexico,31,29,3.6359614212705,3.39683415569999
MLI,Mali,0.518855846922387,0.49876531872134,0.757503043355803,0.640284989226109,0.330167748996245,0.336517426826891,0.292,0.253,0.433,0.426,30,29,6.5,7,7.44199991226196,7.69600009918213,Mali,30,29,-1.65826694846368,0.438088940320712
MLT,Malta,0.550023083077812,0.673490387293242,0.932146459280028,0.932146459280028,0.567333274619645,0.567333274619645,0.571,0.562,0.915,0.911,53,54,3.3,3.4,3.61999988555908,4.26000022888184,Malta,53,54,1.64206001768947,0.638544956776653
MNE,Montenegro,0.537848924217146,0.530351868108098,0.792424811829241,0.792424811829241,0.470007412792079,0.5165229611476,0.307,0.311,0.836,0.825,45,45,4.1,4,15.1199998855591,17.8999996185303,Montenegro,45,45,0.361563704540798,-0.255655699848551
MNG,Mongolia,0.578104004763675,0.578104004763675,1,1,0.430766486335379,0.430766486335379,0.371,0.361,0.746,0.745,35,35,4.1,3.8,5.43900012969971,7.01000022888184,Mongolia,35,35,7.30481597480148,3.69316922767457
MOZ,Mozambique,0.464347485113637,0.484004750572108,0.596809139715221,0.596809139715221,0.348393626130329,0.358360944126115,0.251,0.223,0.456,0.453,25,26,6.8,7.3,3.46600008010864,3.80999994277954,Mozambique,25,26,2.78110631182942,3.14169129409215
MRT,Mauritania,0.309182852137884,0.310455735908064,0.487284053259537,0.487284053259537,0.305872631583808,0.243828766520793,0.247,0.26,0.562,0.556,29,28,8.3,8,10.3929996490479,11.2700004577637,Mauritania,29,28,2.30009262117938,2.38569488456317
MUS,Mauritius,0.612331001468238,0.573753668392715,0.888593521750256,0.888593521750256,0.44084155059811,0.441907772711846,0.483,0.359,0.816,0.804,53,52,2.4,2.1,6.32999992370605,7.40700006484985,Mauritius,53,52,0.405655190309511,2.58080077182828
MWI,Malawi,0.566794031286151,0.576105993500736,0.757503043355803,0.757503043355803,0.300678073991628,0.364443175612648,0.319,0.36,0.519,0.516,30,31,6.1,6.6,5.7519998550415,6.70100021362305,Malawi,30,31,9.37083605605672,8.62551469650552
MYS,Malaysia,0.525326507527127,0.525326507527127,1,1,0.533068588812554,0.484084452952427,0.285,0.259,0.81,0.806,51,53,6.9,6.6,3.25999999046326,4.50400018692017,Malaysia,51,53,0.662891865764376,-1.13870215393056
NAM,Namibia,0.567578591921571,0.626537724239057,0.596809139715221,0.596809139715221,0.502287836078423,0.487884424679962,0.429,0.393,0.639,0.633,51,52,3,2.9,19.988000869751,21.4459991455078,Namibia,51,52,3.72239414422688,2.20938236933476
NER,Niger,0.411821091303045,0.410992198839048,0.757503043355803,0.757503043355803,0.425029855103739,0.425029855103739,0.295,0.296,0.406,0.401,32,32,7.3,7,0.554000020027161,0.624000012874603,Niger,32,32,-2.48979265070851,2.89819376026271
NGA,Nigeria,0.476194605205182,0.46209438336464,0.757503043355803,0.757503043355803,0.190321726471019,0.166380446717283,0.357,0.35,0.538,0.535,25,26,8,8.1,8.52999973297119,9.71399974822998,Nigeria,25,26,11.3967949687168,13.2460234276597
NIC,Nicaragua,0.03384419007515,0.03384419007515,0.596809139715221,0.596809139715221,0.277166503820617,0.165498559353345,0.147,0.14,0.664,0.654,22,22,8.1,8.4,5.21099996566772,6.07800006866455,Nicaragua,22,22,5.3762899084413,3.68181341625573
NLD,Netherlands,0.809575640480129,0.809575640480129,1,1,0.852277996164713,0.852277996164713,0.592,0.589,0.942,0.938,82,82,1,0.7,3.38000011444092,3.8199999332428,Netherlands,82,82,2.63369910249593,1.2724603778917
NOR,Norway,0.915894744444782,0.915894744444782,1,1,0.8826062840753,0.8826062840753,0.64,0.647,0.96,0.958,84,84,0.6,0.5,3.69000005722046,4.42000007629395,Norway,84,84,2.16773003305405,1.28658490707998
NPL,Nepal,0.543330705964881,0.538640936754243,1,1,0.366307931906731,0.380390099597799,0.384,0.386,0.61,0.603,33,34,6.6,6.3,3.09699988365173,4.72399997711182,Nepal,33,34,5.56868547784925,5.05236655289216
NZL,New Zealand,0.873217075648748,0.873217075648748,1,1,0.91968453159009,0.91968453159009,0.698,0.696,0.937,0.936,88,87,0.6,0.5,4.1100001335144,4.59000015258789,New Zealand,88,87,1.61963190184049,1.71456170007244
OMN,Oman,0.413756208251918,0.413756208251918,0.403613814208192,0.403613814208192,0.514983202998498,0.514983202998498,0.124,0.123,0.838,0.826,54,52,7,6.9,1.84800004959106,2.94000005722046,Oman,54,52,0.133795057453182,-0.903874872278535
